,,,,,
פריט,א',ב',ג' ,ד',ה'
תאריך,31.5.2026,1/6/26,2/6.2026,3/6.2026,4/5.2026
עיקריות,,,,,
התבשיליה,עמדת פסטה בולונז ,כרעיים בתערובת אריסה על מצע קוסקוס צהוב ומרק ירקות קלאסי,עראייס עם טחינה ירוקה וסלט דודו,עוף בסגנון KFC,חצילים  במילוי בקר טחון רוטב עגבניות   
עמדת גריל,שניצל עם שומשום,שניצל עם קצח,שניצל קלאסי,שניצל וציפוי פטרוזיליה מיובשת ופרורי לחם,שניצל ציפוי פאנקו ושום
,חזה עוף בתיבול קייג'ון ,חזה עוף בעשבי תיבול ,חזה עוף בשום ודבש,חזה עוף במרינדה מעושנת,חזה עוף בתיבול ים תיכוני 
,"שווארמה פרגיות , (פיתות) בליווי הום פרייז וטחינה ירוקה","קבב על הגריל , מוגש עם צ'יפס בצל עגבניות צלויות וטחינה ",עוף טביט,שיפורדי  פרגית  בתיבול מזרחי בליווי ציפס ,"שווארמה פרגית בלאפה,רבעי כרוב צלוי וצ'יפס מטוגן"
עמדת צימחוני טבעוני ,"""כמו בשר סטייל בולונז"" בשילוב בצל מטוגן וסלרי, וגזר מוגש עם פסטה ","     סנייה קבב – תבשיל ירוקים, קבב , טחינה וסלסלה עגבניות מעל",המבורגר צימחוני בליווי צ'יפס,"נקנקיות צ'וריסוס  בלחמנייה-   כרוב כבוש, וריבת חריפים ","  המבורגר טבעוני מבוסס קטניות בריאות - ,  חסות, עגבנייה, מלפפון חמוץ, בצל סגול פרוס, ומגוון תוספות בלחמנייה המבורגר  בליווי ציפס"
,"שווארמה טבעונית, פיתות הום פרייז וטחינה לאורח ",תבשיל עדשים וטופו ברוטב מזרחי על מצע קוסקוס ומרק ירקות קלאסי,"קציצות עדשים ברוטב של ארטישוק, זיתים ולימון כבוש על מצע אורז אושפלאו ושעועית ירוקה","תבשיל עדשים, בעשבי תבלין קצוצים, קוביות סלק צלויים ומעל הכל טופו וירקות  בליווי אורז לבן", קריספי טופו בטמפורה  בליווי ציפס
עמדת דג יומית,פילה מושט מזרחי על מצע אורז,סלמון בציפוי עשבי תיבול על מצע פירה ,"פילה מרלוזה בטמפורה, ורבעי לימון, עם שעועית ירוקה מוקפצת וצ'יפס  ",סלמון בדבש וסויה על פולנטה וסלק צלוי,פילה טונה מזרחי בליווי דלעת צלויה עם טימין
עמדת ספיישל יומית,"רוטיסרי עוף , במרינדת שום ודבש בייבי תפוחי אדמה    ","סינטה מיושן על האש,בליווי פירה שורשים  ",אסדו חתוך למנות על מצע קרם שורשים וגזר ,בריסקט דרום אמריקאי מפורק  במרינדת אננס סריראצה   בליווי ציפס  ,קרייזי בורגר בליווי טבעות בצל 
